Date,Open,High,Low,Close,Volume
28-01-2021,208.25,210.95,205.35,206.5,2560320.0
27-01-2021,207.9,212.6,207.0,210.7,3210494.0
25-01-2021,212.45,212.45,206.9,207.9,869425.0
22-01-2021,213.85,215.0,209.1,210.65,1061063.0
21-01-2021,218.5,219.45,212.3,213.65,1044413.0
20-01-2021,219.0,219.0,215.75,217.6,2094596.0
19-01-2021,221.0,221.6,217.65,218.9,1139773.0
18-01-2021,218.1,221.95,214.6,219.55,4673635.0
15-01-2021,215.0,218.55,211.3,217.9,2173381.0
14-01-2021,212.9,216.4,212.0,214.1,4509860.0
13-01-2021,207.85,213.0,205.25,211.25,2965389.0
12-01-2021,202.6,206.9,202.0,206.4,1094684.0
11-01-2021,203.6,206.0,201.3,202.45,3080596.0
08-01-2021,204.0,206.0,200.3,201.55,1732160.0
07-01-2021,205.8,207.55,202.15,202.75,2855957.0
06-01-2021,211.0,211.6,204.35,205.45,3587679.0
05-01-2021,212.0,213.25,210.6,211.5,1395577.0
04-01-2021,213.95,216.0,212.0,213.4,2181422.0
01-01-2021,210.0,214.2,209.3,213.85,1831530.0
31-12-2020,211.0,211.25,208.55,209.0,620996.0
30-12-2020,213.0,213.35,209.6,211.1,1496633.0
29-12-2020,210.8,213.5,209.5,211.55,1930582.0
28-12-2020,208.7,210.5,207.85,209.5,1366582.0
24-12-2020,210.0,210.65,205.75,208.6,770083.0
23-12-2020,203.7,208.0,202.1,207.7,825745.0
22-12-2020,202.2,206.2,196.9,203.35,4768058.0
21-12-2020,214.1,214.5,198.55,202.95,5536504.0
18-12-2020,212.9,215.95,209.75,214.5,932353.0
17-12-2020,214.5,214.75,211.3,213.0,1683054.0
16-12-2020,213.8,215.65,213.5,214.35,803324.0
15-12-2020,215.35,216.3,211.55,213.4,2364605.0
14-12-2020,218.0,218.5,214.95,215.9,1325096.0
11-12-2020,214.0,217.85,213.35,216.2,3893719.0
10-12-2020,207.0,213.55,203.1,212.7,2517250.0
09-12-2020,204.6,207.7,204.6,205.35,2784923.0
08-12-2020,204.35,204.75,199.7,202.45,1124395.0
07-12-2020,198.65,203.75,197.65,203.1,1455585.0
04-12-2020,196.75,199.3,196.45,198.15,2221957.0
03-12-2020,196.85,197.35,194.6,196.25,1979632.0
02-12-2020,195.0,198.7,193.6,195.9,2434056.0
01-12-2020,194.5,196.25,192.4,194.45,1428072.0
27-11-2020,194.9,195.7,193.25,193.7,1692524.0
26-11-2020,195.4,195.9,192.55,194.8,867674.0
25-11-2020,195.5,198.0,192.55,193.7,1940607.0
24-11-2020,191.0,196.4,190.9,195.45,1461650.0
23-11-2020,192.0,192.5,188.7,190.8,935989.0
20-11-2020,188.15,191.95,186.05,191.6,2183495.0
19-11-2020,183.0,191.7,182.8,187.85,4165066.0
18-11-2020,186.75,188.35,182.8,184.05,991709.0
17-11-2020,188.7,189.35,186.4,187.3,1683426.0
14-11-2020,189.8,190.0,188.0,188.65,389585.0
13-11-2020,187.0,188.75,185.7,187.05,1831490.0
12-11-2020,185.2,188.8,183.95,187.9,1960969.0
11-11-2020,179.6,185.75,178.55,185.25,4977233.0
10-11-2020,174.95,179.5,171.9,178.35,5194786.0
09-11-2020,173.95,177.2,171.75,172.8,2749148.0
06-11-2020,176.55,177.2,173.4,173.95,2335628.0
05-11-2020,170.55,175.05,170.2,174.8,941290.0
04-11-2020,170.0,171.8,168.1,169.7,1256942.0
03-11-2020,167.6,170.75,167.1,170.1,704326.0
02-11-2020,165.75,167.05,164.4,166.7,1074879.0
30-10-2020,164.3,166.75,163.45,165.25,1125563.0
29-10-2020,164.1,166.0,163.4,163.85,1205060.0
28-10-2020,168.25,168.25,165.05,165.55,2167706.0
27-10-2020,168.35,169.25,166.8,167.2,1212248.0
26-10-2020,171.0,171.5,168.3,168.55,478090.0
23-10-2020,168.95,170.95,167.75,170.7,1336565.0
22-10-2020,167.65,169.0,166.9,168.55,858531.0
21-10-2020,168.3,168.8,166.6,167.65,936421.0
20-10-2020,168.7,168.7,166.75,167.5,744293.0
19-10-2020,166.95,168.95,166.2,168.3,1191020.0
16-10-2020,165.1,166.75,163.8,165.75,1285221.0
15-10-2020,167.9,168.0,164.5,165.05,3298083.0
14-10-2020,170.15,170.85,167.1,167.85,1534134.0
13-10-2020,172.85,174.8,169.55,170.2,2055419.0
12-10-2020,169.95,175.2,169.95,172.2,3754774.0
09-10-2020,167.5,168.95,166.4,167.85,1273927.0
08-10-2020,170.25,170.4,167.0,167.2,1270186.0
07-10-2020,170.0,170.9,169.05,169.5,891106.0
06-10-2020,169.5,171.55,168.2,169.95,1297748.0
05-10-2020,171.7,172.85,168.8,169.3,1303543.0
01-10-2020,174.1,174.4,170.15,170.85,1418103.0
30-09-2020,170.8,172.05,168.8,171.75,1824111.0
29-09-2020,174.8,174.8,169.0,169.35,1265530.0
28-09-2020,171.2,174.8,170.5,173.35,1231828.0
25-09-2020,169.0,171.3,167.1,170.8,1798578.0
24-09-2020,171.6,171.6,166.15,166.6,2658267.0
23-09-2020,175.0,177.5,171.75,172.55,1021829.0
22-09-2020,175.7,176.25,173.8,174.15,600712.0
21-09-2020,180.2,180.4,175.0,175.7,2057685.0
18-09-2020,180.8,180.8,177.0,179.2,1216036.0
17-09-2020,180.8,181.6,177.85,178.55,1491019.0
16-09-2020,181.95,183.5,180.0,180.65,998882.0
15-09-2020,184.0,184.0,180.85,181.8,773606.0
14-09-2020,185.8,185.85,183.0,183.35,747342.0
11-09-2020,185.0,186.45,182.85,183.9,1030815.0
10-09-2020,184.2,185.65,183.25,184.95,1287289.0
09-09-2020,186.0,186.25,182.4,183.95,801106.0
08-09-2020,189.7,190.5,184.55,188.15,1399108.0
07-09-2020,187.5,190.35,180.85,189.3,1108079.0
04-09-2020,189.6,190.0,185.75,186.65,2826218.0
03-09-2020,192.0,193.2,189.95,191.65,903276.0
02-09-2020,191.8,192.9,189.8,191.45,1045714.0
01-09-2020,191.0,192.3,188.4,190.3,1873821.0
31-08-2020,198.5,198.7,190.3,191.25,3823965.0
28-08-2020,194.8,196.25,194.1,195.55,672384.0
27-08-2020,198.0,198.95,194.0,194.2,1116918.0
26-08-2020,196.05,196.4,193.7,194.95,1200270.0
25-08-2020,197.0,198.25,195.05,195.55,570292.0
24-08-2020,197.0,198.9,196.4,196.65,854654.0
21-08-2020,198.85,199.0,196.35,196.9,1259484.0
20-08-2020,197.5,197.5,194.65,195.85,540095.0
19-08-2020,198.75,201.6,198.15,198.45,1008027.0
18-08-2020,198.8,199.55,197.3,198.6,373324.0
17-08-2020,197.5,199.45,196.9,198.65,777984.0
14-08-2020,201.5,203.25,195.6,196.5,1725643.0
13-08-2020,204.25,204.25,197.45,201.5,815886.0
12-08-2020,202.8,204.85,200.35,204.15,1475091.0
11-08-2020,200.0,207.6,199.95,203.65,4510167.0
10-08-2020,196.15,199.6,195.75,198.9,1520307.0
07-08-2020,195.35,197.0,194.15,196.05,668131.0
06-08-2020,193.25,195.6,193.25,195.35,550241.0
05-08-2020,194.8,194.8,191.75,192.75,472124.0
04-08-2020,192.9,195.8,192.65,193.6,1180713.0
03-08-2020,195.0,195.0,191.9,192.7,478607.0
31-07-2020,194.0,196.95,193.5,194.1,443089.0
30-07-2020,198.1,198.15,192.5,193.35,775040.0
29-07-2020,193.9,198.1,193.6,196.8,1064291.0
28-07-2020,196.5,198.6,195.15,195.45,654233.0
27-07-2020,199.7,200.5,195.1,196.25,1890414.0
24-07-2020,200.65,201.65,197.35,199.7,936745.0
23-07-2020,198.0,201.45,196.75,200.65,2889601.0
22-07-2020,192.75,197.85,192.6,196.55,1039331.0
21-07-2020,192.6,194.15,191.55,192.25,1657964.0
20-07-2020,195.95,195.95,192.4,192.75,543194.0
17-07-2020,193.75,195.5,193.0,194.0,423650.0
16-07-2020,199.0,199.0,192.0,193.85,801285.0
15-07-2020,196.5,199.9,194.5,198.5,2675020.0
14-07-2020,198.0,199.5,192.8,196.0,630556.0
13-07-2020,196.0,198.75,195.35,197.45,712422.0
10-07-2020,195.7,196.5,194.0,194.3,516730.0
09-07-2020,196.6,197.75,194.2,195.45,532716.0
08-07-2020,194.8,197.9,194.4,196.25,1917110.0
07-07-2020,200.3,200.55,194.0,194.3,1325300.0
06-07-2020,200.8,201.95,199.0,199.75,1277507.0
03-07-2020,207.7,208.45,206.0,207.35,2196807.0
02-07-2020,204.3,206.75,202.65,206.0,1427773.0
01-07-2020,195.0,203.8,194.85,202.7,1762903.0
30-06-2020,201.0,201.0,194.0,194.6,1763570.0
29-06-2020,203.1,203.1,196.25,197.2,2641793.0
26-06-2020,205.5,209.25,193.3,195.1,5776272.0
25-06-2020,191.85,203.5,191.85,202.25,2764627.0
24-06-2020,187.6,194.65,186.2,191.8,3687943.0
23-06-2020,184.95,187.45,184.8,185.9,1673135.0
22-06-2020,185.8,187.4,183.2,185.05,1797697.0
19-06-2020,187.35,188.0,183.65,184.1,1321422.0
18-06-2020,181.55,187.45,180.75,186.65,1673493.0
17-06-2020,183.1,185.05,180.7,181.3,950373.0
16-06-2020,190.1,191.0,181.9,184.95,1398189.0
15-06-2020,194.05,194.05,186.4,187.2,778118.0
12-06-2020,189.6,195.25,188.05,194.0,980250.0
11-06-2020,200.0,201.25,193.6,194.6,855456.0
10-06-2020,199.2,203.2,198.35,199.25,1024793.0
09-06-2020,198.95,206.1,197.7,198.6,1341970.0
08-06-2020,202.4,203.65,197.15,197.75,744734.0
05-06-2020,200.7,202.1,198.75,199.95,605910.0
04-06-2020,197.9,202.6,195.0,200.1,841987.0
03-06-2020,200.0,200.85,195.3,196.85,681985.0
02-06-2020,201.8,201.8,196.75,197.2,973789.0
01-06-2020,200.0,205.25,199.55,200.6,1177469.0
29-05-2020,190.8,198.0,189.3,197.45,1314698.0
28-05-2020,192.65,193.0,189.1,190.55,632971.0
27-05-2020,192.15,193.9,186.85,192.15,847999.0
26-05-2020,190.2,194.95,188.0,191.5,1667390.0
22-05-2020,188.0,191.8,184.75,186.35,1244340.0
21-05-2020,176.0,190.6,172.7,188.9,1970882.0
20-05-2020,170.8,176.95,170.8,175.75,1001276.0
19-05-2020,166.0,171.55,165.2,170.7,695883.0
18-05-2020,166.4,167.2,163.15,164.55,742763.0
15-05-2020,162.2,165.45,161.3,164.6,475955.0
14-05-2020,165.4,168.2,162.05,163.95,1093710.0
13-05-2020,173.0,173.3,164.55,165.4,672513.0
12-05-2020,158.8,166.0,157.55,165.0,815398.0
11-05-2020,160.3,163.5,158.1,158.45,600808.0
08-05-2020,163.0,164.0,157.1,158.3,770389.0
07-05-2020,165.8,165.85,160.6,161.05,753953.0
06-05-2020,171.7,171.7,160.6,163.8,2397288.0
05-05-2020,175.2,177.4,173.25,173.9,395357.0
04-05-2020,182.15,182.15,170.75,174.05,1934840.0
30-04-2020,185.0,185.0,180.5,182.15,623844.0
29-04-2020,181.0,183.0,179.75,182.1,356741.0
28-04-2020,180.0,180.8,178.1,179.65,280678.0
27-04-2020,180.0,182.3,179.25,179.8,495128.0
24-04-2020,181.7,182.75,179.4,180.0,307133.0
23-04-2020,184.4,184.4,180.0,180.75,1732881.0
22-04-2020,179.45,183.5,176.2,182.35,917472.0
21-04-2020,179.0,184.2,176.05,179.65,671347.0
20-04-2020,190.9,190.9,179.6,180.75,1330184.0
17-04-2020,190.5,191.45,186.9,188.1,1344318.0
16-04-2020,189.75,191.2,185.5,186.5,1093031.0
15-04-2020,184.8,193.65,183.1,189.45,1539827.0
13-04-2020,185.35,186.55,181.0,181.65,664395.0
09-04-2020,184.4,186.25,180.45,185.35,1245599.0
08-04-2020,181.4,184.0,176.8,178.6,1445611.0
07-04-2020,184.0,185.65,173.6,181.5,2009993.0
03-04-2020,168.2,182.65,167.3,177.8,1952021.0
01-04-2020,172.4,172.8,164.55,166.35,848837.0
31-03-2020,163.4,173.7,161.5,172.0,1455856.0
30-03-2020,159.0,164.95,156.05,159.5,1007322.0
27-03-2020,160.1,166.0,154.95,162.9,1619672.0
26-03-2020,150.0,162.05,143.3,157.2,1871263.0
25-03-2020,150.0,151.9,139.0,147.35,1686218.0
24-03-2020,160.0,163.15,147.5,149.45,2023455.0
23-03-2020,164.9,164.9,149.25,154.4,1932537.0
20-03-2020,164.0,176.55,164.0,175.55,2473883.0
19-03-2020,151.0,163.5,144.8,161.95,2717547.0
18-03-2020,153.6,154.6,147.5,150.65,884047.0
17-03-2020,147.35,155.8,140.0,149.2,2053604.0
16-03-2020,159.0,159.0,145.25,147.2,1229008.0
13-03-2020,150.0,164.0,134.95,162.25,2308081.0
12-03-2020,170.0,170.0,150.4,156.25,2497345.0
11-03-2020,174.3,176.7,172.35,175.7,1789199.0
09-03-2020,179.3,179.3,174.55,177.2,791139.0
06-03-2020,185.65,185.65,179.75,181.8,1338833.0
05-03-2020,187.95,191.15,186.6,187.95,520777.0
04-03-2020,195.25,195.25,186.6,187.45,1066231.0
03-03-2020,196.3,197.45,192.7,193.85,772957.0
02-03-2020,199.05,203.35,193.8,195.55,656410.0
28-02-2020,195.0,199.75,190.6,197.6,1388715.0
27-02-2020,199.0,199.3,195.95,197.5,537109.0
26-02-2020,200.9,201.85,196.35,198.55,537200.0
25-02-2020,203.1,205.4,201.45,201.75,851925.0
24-02-2020,207.5,207.85,201.75,203.0,608147.0
20-02-2020,207.0,208.6,205.5,207.4,266563.0
19-02-2020,204.35,207.2,203.9,206.7,345066.0
