Date,Open,High,Low,Close,Volume
2015-09-26,239.99,239.99,234.81,235.2,190090
2015-09-27,235.2,235.36,232.91,234.51,258488
2015-09-28,234.51,234.76,233.03,233.29,161013
2015-09-29,233.29,243.19,232.9,240.07,319143
2015-09-30,240.07,241.5,235.81,237.0,368771
2015-10-01,237.0,238.2,235.56,236.55,294736
2015-10-02,236.55,239.53,234.63,238.1,180356
2015-10-03,238.1,238.99,237.09,238.0,133911
2015-10-04,238.0,241.0,237.53,239.67,127411
2015-10-05,239.67,239.93,238.3,238.58,148659
2015-10-06,238.58,240.85,237.77,240.85,255736
2015-10-07,240.85,249.0,240.68,247.09,536943
2015-10-08,247.09,247.8,243.43,243.43,428099
2015-10-09,243.43,245.73,243.0,243.19,393019
2015-10-10,243.19,244.91,242.99,244.4,466508
2015-10-11,244.4,246.08,243.77,246.0,300969
2015-10-12,246.0,248.56,245.18,248.13,657289
2015-10-13,248.13,248.41,245.7,246.38,710444
2015-10-14,246.38,251.49,244.47,250.76,1284157
2015-10-15,250.76,255.55,249.99,253.32,1196167
2015-10-16,253.32,257.18,253.04,254.86,3508869
2015-10-17,254.86,267.55,254.88,263.89,4632494
2015-10-18,263.89,278.51,263.0,273.91,9988015
2015-10-19,273.91,275.05,262.0,265.63,3216612
2015-10-20,265.63,270.69,261.55,265.35,2241882
2015-10-21,265.35,274.49,264.68,271.85,2770928
2015-10-22,271.85,273.45,263.88,268.37,2806074
2015-10-23,268.37,280.0,267.65,276.9,2263003
2015-10-24,276.9,282.38,275.47,279.8,1898945
2015-10-25,279.8,286.9,278.35,285.39,2753916
2015-10-26,285.39,299.51,282.9,285.79,5663816
2015-10-27,285.79,292.29,281.01,289.32,3596017
2015-10-28,289.32,305.32,286.89,296.51,4671955
2015-10-29,296.51,310.36,296.6,306.99,4231430
2015-10-30,306.99,322.0,303.14,316.6,5642264
2015-10-31,316.6,336.81,300.0,333.0,7526523
2015-11-01,333.0,338.7,307.53,317.73,5842767
2015-11-02,317.73,335.0,314.0,331.38,2599899
2015-11-03,331.38,380.0,326.95,371.98,3855966
2015-11-04,371.98,440.0,365.18,422.0,6102534
2015-11-05,422.0,558.0,382.0,424.0,5738641
2015-11-06,424.0,472.73,375.0,402.0,3820602
2015-11-07,402.0,408.32,359.0,377.61,3353266
2015-11-08,377.61,394.99,373.91,384.34,2032334
2015-11-09,384.34,394.82,365.0,372.0,1938629
2015-11-10,372.0,395.21,361.32,383.25,2043266
2015-11-11,383.25,385.96,326.88,339.45,3018387
2015-11-12,339.45,344.0,301.09,314.5,3906724
2015-11-13,314.5,349.84,313.7,338.25,3688177
2015-11-14,338.25,344.75,325.21,338.81,1939377
2015-11-15,338.81,345.03,329.31,333.63,1637971
2015-11-16,333.63,335.08,314.5,320.43,1621865
2015-11-17,320.43,334.77,314.1,332.05,1502612
2015-11-18,332.05,342.69,331.15,336.4,1530487
2015-11-19,336.4,339.69,328.77,336.5,1208577
2015-11-20,336.5,336.84,324.85,326.65,1209300
2015-11-21,326.65,327.37,309.99,322.09,1878107
2015-11-22,322.09,330.62,319.67,328.24,1113793
2015-11-23,328.24,328.6,319.81,324.92,912601
2015-11-24,324.92,331.94,320.96,323.81,803797
2015-11-25,323.81,323.76,315.79,319.8,927965
2015-11-26,319.8,334.49,315.84,329.42,1220511
2015-11-27,329.42,372.42,329.25,354.2,3054060
2015-11-28,354.2,367.4,350.0,361.7,2415770
2015-11-29,361.7,362.29,350.0,359.72,1678983
2015-11-30,359.72,382.74,355.1,379.5,1407040
2015-12-01,379.5,388.5,373.32,381.43,2619821
2015-12-02,381.43,384.75,347.03,364.1,2092391
2015-12-03,364.1,367.18,346.67,359.96,1896192
2015-12-04,359.96,372.7,355.0,362.32,1909147
2015-12-05,362.32,365.38,353.21,364.2,1174333
2015-12-06,364.2,395.0,363.35,394.0,1884756
2015-12-07,394.0,407.51,387.0,390.04,1995480
2015-12-08,390.04,405.62,384.0,396.7,1632998
2015-12-09,396.7,425.15,390.0,423.0,1589423
2015-12-10,423.0,428.7,407.5,422.14,3017529
2015-12-11,422.14,424.99,411.16,416.22,1725214
2015-12-12,416.22,463.78,416.64,460.0,5284695
2015-12-13,460.0,482.76,418.27,440.34,5297714
2015-12-14,440.34,449.8,419.99,437.5,2447010
2015-12-15,437.5,453.5,432.48,448.89,2231778
2015-12-16,448.89,471.0,447.48,469.98,3419075
2015-12-17,469.98,470.08,404.0,458.04,4154136
