Date,Open,High,Low,Close,Volume,- SPREAD -,
,,,,,,(High-Low),(Open-Close)
28-01-2021,208.25,210.95,205.35,206.5,2560320,5.6,1.75
27-01-2021,207.9,212.6,207,210.7,3210494,5.6,-2.8
25-01-2021,212.45,212.45,206.9,207.9,869425,5.55,4.55
22-01-2021,213.85,215,209.1,210.65,1061063,5.9,3.2
21-01-2021,218.5,219.45,212.3,213.65,1044413,7.15,4.85
20-01-2021,219,219,215.75,217.6,2094596,3.25,1.4
19-01-2021,221,221.6,217.65,218.9,1139773,3.95,2.1
18-01-2021,218.1,221.95,214.6,219.55,4673635,7.35,-1.45
15-01-2021,215,218.55,211.3,217.9,2173381,7.25,-2.9
14-01-2021,212.9,216.4,212,214.1,4509860,4.4,-1.2
13-01-2021,207.85,213,205.25,211.25,2965389,7.75,-3.4
12-01-2021,202.6,206.9,202,206.4,1094684,4.9,-3.8
11-01-2021,203.6,206,201.3,202.45,3080596,4.7,1.15
08-01-2021,204,206,200.3,201.55,1732160,5.7,2.45
07-01-2021,205.8,207.55,202.15,202.75,2855957,5.4,3.05
06-01-2021,211,211.6,204.35,205.45,3587679,7.25,5.55
05-01-2021,212,213.25,210.6,211.5,1395577,2.65,0.5
04-01-2021,213.95,216,212,213.4,2181422,4,0.55
01-01-2021,210,214.2,209.3,213.85,1831530,4.9,-3.85
31-12-2020,211,211.25,208.55,209,620996,2.7,2
30-12-2020,213,213.35,209.6,211.1,1496633,3.75,1.9
29-12-2020,210.8,213.5,209.5,211.55,1930582,4,-0.75
28-12-2020,208.7,210.5,207.85,209.5,1366582,2.65,-0.8
24-12-2020,210,210.65,205.75,208.6,770083,4.9,1.4
23-12-2020,203.7,208,202.1,207.7,825745,5.9,-4
22-12-2020,202.2,206.2,196.9,203.35,4768058,9.3,-1.15
21-12-2020,214.1,214.5,198.55,202.95,5536504,15.95,11.15
18-12-2020,212.9,215.95,209.75,214.5,932353,6.2,-1.6
17-12-2020,214.5,214.75,211.3,213,1683054,3.45,1.5
16-12-2020,213.8,215.65,213.5,214.35,803324,2.15,-0.55
15-12-2020,215.35,216.3,211.55,213.4,2364605,4.75,1.95
14-12-2020,218,218.5,214.95,215.9,1325096,3.55,2.1
11-12-2020,214,217.85,213.35,216.2,3893719,4.5,-2.2
10-12-2020,207,213.55,203.1,212.7,2517250,10.45,-5.7
09-12-2020,204.6,207.7,204.6,205.35,2784923,3.1,-0.75
08-12-2020,204.35,204.75,199.7,202.45,1124395,5.05,1.9
07-12-2020,198.65,203.75,197.65,203.1,1455585,6.1,-4.45
04-12-2020,196.75,199.3,196.45,198.15,2221957,2.85,-1.4
03-12-2020,196.85,197.35,194.6,196.25,1979632,2.75,0.6
02-12-2020,195,198.7,193.6,195.9,2434056,5.1,-0.9
