Date,POG,PFD,AZN,GSK,SGE,DGE,ITRK
2020-02-28,18.5,32.85,6794.0,1562.2,681.8,2765.5,5270.0
2020-03-02,18.98,32.05,7010.0,1630.0,694.2,2811.5,5324.0
2020-03-03,20.35,32.1,7172.0,1608.0,701.8,2820.5,5412.0
2020-03-04,20.75,31.6,7455.0,1663.8,704.0,2832.5,5442.0
2020-03-05,22.0,31.55,7502.0,1639.8,690.8,2806.5,5434.0
2020-03-06,21.75,30.5,7242.0,1593.6,668.0,2740.0,5182.0
2020-03-09,18.76,28.3,7003.0,1548.0,627.4,2616.0,4852.0
2020-03-10,19.7,28.25,6945.0,1514.6,622.0,2599.0,4873.0
2020-03-11,19.36,27.5,6955.0,1522.6,625.0,2552.5,4769.0
2020-03-12,15.78,22.65,6314.0,1404.6,560.0,2376.0,4387.0
2020-03-13,16.76,22.55,6316.0,1402.8,582.0,2442.0,4536.0
2020-03-16,15.14,20.0,6221.0,1401.4,612.8,2353.5,4770.0
2020-03-17,15.58,20.1,6721.0,1501.8,578.6,2338.5,4635.0
2020-03-18,15.52,19.76,6698.0,1437.4,579.8,2200.0,4296.0
2020-03-19,15.34,18.46,6905.0,1455.0,578.8,2400.5,4164.0
2020-03-20,18.78,19.74,6891.0,1449.0,555.6,2427.5,4439.0
2020-03-23,20.2,21.05,6831.0,1374.6,534.8,2216.5,4189.0
2020-03-24,21.45,23.4,6960.0,1415.6,560.8,2396.0,4363.0
2020-03-25,21.4,23.55,6918.0,1489.6,587.6,2512.5,4659.0
2020-03-26,21.65,25.35,6882.0,1501.2,600.0,2684.0,4928.0
2020-03-27,21.7,24.5,6805.0,1443.0,590.0,2512.5,4714.0
2020-03-30,21.45,24.0,7103.0,1482.0,600.0,2574.5,4633.0
2020-03-31,21.15,24.15,7216.0,1514.6,591.8,2586.5,4726.0
2020-04-01,19.98,23.55,7102.0,1499.4,576.4,2463.0,4417.0
2020-04-02,19.9,25.0,6980.0,1493.2,553.2,2468.5,4370.0
2020-04-03,18.88,27.0,7144.0,1489.4,558.2,2458.0,4458.0
2020-04-06,18.82,26.7,7184.0,1509.4,565.4,2553.5,4518.0
2020-04-07,20.4,26.5,7000.0,1514.8,581.4,2569.0,4620.0
2020-04-08,20.85,25.95,6971.0,1499.4,606.8,2522.0,4724.0
2020-04-09,22.95,25.9,7121.0,1544.2,614.8,2633.0,4842.0
2020-04-14,23.65,27.9,7606.0,1570.0,624.6,2624.0,4893.0
2020-04-15,22.35,28.15,7615.0,1570.0,612.2,2620.0,4760.0
2020-04-16,22.9,32.0,7818.0,1653.8,615.0,2642.0,4719.0
2020-04-17,22.55,32.7,7970.0,1660.6,631.8,2711.0,4959.0
2020-04-20,24.15,42.2,8120.0,1667.4,636.6,2699.5,5016.0
2020-04-21,24.4,41.75,8150.0,1650.6,626.8,2580.5,4899.0
2020-04-22,25.5,45.0,8145.0,1668.2,623.2,2658.0,4959.0
2020-04-23,25.0,46.0,8187.0,1694.0,619.0,2686.0,5052.0
2020-04-24,24.05,44.5,8204.0,1687.6,609.8,2655.0,4726.0
2020-04-27,25.4,46.6,8290.0,1703.0,615.6,2725.0,4740.0
2020-04-28,26.1,46.6,8188.0,1687.6,615.0,2763.5,4861.0
2020-04-29,25.0,46.5,8207.0,1677.0,626.6,2766.5,4934.0
2020-04-30,26.0,45.7,8322.0,1661.0,640.0,2750.0,4750.0
2020-05-01,24.1,45.8,8202.0,1611.2,621.0,2765.5,4574.0
2020-05-04,23.9,45.5,8361.0,1663.0,617.6,2734.5,4518.0
2020-05-05,23.8,45.4,8512.0,1668.0,628.0,2712.5,4576.0
2020-05-06,24.45,45.75,8830.0,1697.0,627.6,2764.0,4655.0
2020-05-07,25.65,45.1,8559.0,1674.6,642.0,2778.0,4722.0
2020-05-11,27.7,45.3,8707.0,1677.8,642.6,2831.0,4751.0
2020-05-12,26.75,45.05,8856.0,1707.0,655.0,2884.0,4820.0
2020-05-13,26.25,44.0,9004.0,1742.2,666.6,2822.5,4711.0
2020-05-14,25.95,43.5,8765.0,1641.8,618.4,2695.5,4416.0
2020-05-15,27.2,43.75,8671.0,1647.8,639.2,2743.0,4458.0
2020-05-18,26.2,44.0,8790.0,1687.2,656.8,2841.5,4705.0
2020-05-19,25.75,43.8,8676.0,1660.6,664.2,2840.5,4808.0
2020-05-20,25.5,44.0,8882.0,1685.4,678.8,2842.5,4938.0
