Historical EUR to MYR Exchange Rates,Unnamed: 1
02-11-17,4.926
01-11-17,4.9232
31-10-17,4.9255
30-10-17,4.9239
29-10-17,4.9251
28-10-17,4.9251
27-10-17,4.9325
26-10-17,5.0033
25-10-17,4.9782
24-10-17,4.98
23-10-17,4.9788
22-10-17,4.9794
21-10-17,4.9794
20-10-17,4.9947
19-10-17,4.9835
18-10-17,4.9576
17-10-17,4.9717
16-10-17,4.9764
15-10-17,4.9899
14-10-17,4.9899
13-10-17,4.987
12-10-17,5.0071
11-10-17,4.9793
10-10-17,4.9729
09-10-17,4.9701
08-10-17,4.9701
07-10-17,4.9701
06-10-17,4.9613
05-10-17,4.9747
04-10-17,4.9776
