,Polarity,Sensitivity,Tweet_vol,Open,High,Low,Volume_BTC,Volume_Dollar,Close_Price
2018-07-11 20:00:00,0.10265670748614598,0.21614845947129513,4354.0,6342.97,6354.19,6291.0,986.73,6231532.37,6350.0
2018-07-11 21:00:00,0.09800395297609978,0.21861239516350178,4432.0,6352.99,6370.0,6345.76,126.46,804221.55,6356.48
2018-07-11 22:00:00,0.0966881579841847,0.23134226427071872,3980.0,6350.85,6378.47,6345.0,259.1,1646353.87,6361.93
2018-07-11 23:00:00,0.10399680386738332,0.21773906718462835,3830.0,6362.36,6381.25,6356.74,81.54,519278.69,6368.78
2018-07-12 00:00:00,0.09438312650721571,0.19525553005949395,3998.0,6369.49,6381.25,6361.83,124.55,793560.22,6380.0
2018-07-12 01:00:00,0.10083589375817453,0.22307632548845868,3713.0,6379.13,6380.0,6347.72,141.5,900280.85,6365.43
2018-07-12 02:00:00,0.1119643429977597,0.19504306787217293,3843.0,6365.24,6371.8,6324.48,141.3,896772.74,6327.94
2018-07-12 03:00:00,0.1058881862567765,0.20993930342403333,3831.0,6328.4,6348.45,6302.18,162.37,1026431.72,6326.98
2018-07-12 04:00:00,0.10811700734669419,0.20800324193424663,3743.0,6327.49,6343.22,6327.49,58.62,371327.65,6339.5
2018-07-12 05:00:00,0.10666706633974722,0.21723050559221563,3480.0,6342.22,6344.57,6328.0,74.75,473450.28,6333.05
2018-07-12 06:00:00,0.09819201661175406,0.20621768833627063,3954.0,6333.05,6335.55,6305.0,130.84,827194.5,6329.57
2018-07-12 07:00:00,0.08077478187342219,0.19081446008983832,4561.0,6329.9,6334.74,6177.45,1211.64,7536289.75,6217.63
2018-07-12 08:00:00,0.08877735580061671,0.18471850163515388,5621.0,6217.03,6223.14,6131.35,758.15,4677685.75,6180.5
2018-07-12 09:00:00,0.0975813393389163,0.20191214692260084,5046.0,6180.46,6200.82,6085.59,1090.25,6719480.12,6200.82
2018-07-12 10:00:00,0.09191287676658966,0.19896478587190353,5511.0,6200.23,6205.0,6175.01,289.87,1794667.77,6185.82
2018-07-12 11:00:00,0.08382532077920497,0.2173181646652594,5277.0,6185.4,6187.99,6157.03,212.3,1310453.07,6175.18
2018-07-12 12:00:00,0.07710081294119067,0.195526425954516,5493.0,6174.5,6182.13,6144.35,261.02,1608275.15,6162.41
2018-07-12 13:00:00,0.07714852137139569,0.20891735896754152,5455.0,6167.17,6191.99,6155.0,246.37,1522744.15,6180.31
2018-07-12 14:00:00,0.09711192039767944,0.23622240576351197,5811.0,6180.3,6183.99,6170.99,258.89,1599120.65,6182.99
2018-07-12 15:00:00,0.09680845597780344,0.21027440482122414,5676.0,6182.98,6199.57,6173.5,275.0,1700530.69,6180.97
2018-07-12 16:00:00,0.08795242249876721,0.2015228691350621,5983.0,6178.59,6182.55,6159.01,166.21,1025666.81,6169.51
2018-07-12 17:00:00,0.09484858580146976,0.21709007457257168,5699.0,6168.44,6192.89,6166.78,342.08,2115989.77,6181.23
2018-07-12 18:00:00,0.10102371245440864,0.21088171207458128,5273.0,6184.08,6189.0,6167.64,168.14,1039237.28,6179.12
2018-07-12 19:00:00,0.08611796809952094,0.21457562723378348,4950.0,6179.12,6185.0,6165.22,103.57,639670.03,6173.99
2018-07-12 20:00:00,0.07871816379987927,0.20741734995274108,4874.0,6171.06,6180.17,6150.43,148.79,916929.71,6174.76
2018-07-12 21:00:00,0.08719564027112056,0.21046084704329646,4289.0,6179.38,6187.42,6166.91,120.99,747520.42,6173.05
2018-07-12 22:00:00,0.09749038298261753,0.20786096842163354,4290.0,6170.03,6176.66,6153.52,81.22,500729.79,6171.68
2018-07-12 23:00:00,0.09420668493105258,0.20923114266523765,4404.0,6171.94,6173.61,6110.08,309.59,1901284.59,6149.11
2018-07-13 00:00:00,0.10956030065574283,0.20687239073099853,4339.0,6149.11,6267.31,6072.0,1039.01,6412278.5,6243.88
2018-07-13 01:00:00,0.1059331692447039,0.2131436722864254,4112.0,6243.53,6284.05,6214.94,466.27,2910899.5,6236.88
2018-07-13 02:00:00,0.10359979844473512,0.20187772547668398,4080.0,6236.88,6249.82,6231.94,114.45,714175.12,6232.71
2018-07-13 03:00:00,0.12033375545093336,0.21227923614457422,4205.0,6232.88,6254.67,6228.76,187.3,1168928.22,6242.9
2018-07-13 04:00:00,0.09555287236451522,0.21991078312830262,4395.0,6242.89,6252.93,6236.55,139.55,871611.63,6249.87
2018-07-13 05:00:00,0.10343047308156315,0.2078529458176204,4179.0,6248.2,6264.75,6236.01,219.95,1375165.61,6245.68
2018-07-13 06:00:00,0.10165723968487417,0.20809832469539916,3760.0,6245.68,6256.75,6229.16,242.49,1513210.93,6244.39
2018-07-13 07:00:00,0.1022300476629104,0.21493596730628992,3875.0,6243.18,6247.98,6212.21,184.38,1148580.47,6230.01
2018-07-13 08:00:00,0.10611204722476755,0.21574199226407334,5072.0,6230.4,6253.9,6229.38,236.18,1474017.93,6249.19
2018-07-13 09:00:00,0.09147283872454691,0.18770163229568818,4500.0,6247.92,6250.0,6229.1,128.9,804393.43,6233.96
2018-07-13 10:00:00,0.09960890509981776,0.1912204222641126,4818.0,6232.96,6245.47,6230.0,154.3,962281.91,6234.85
2018-07-13 11:00:00,0.09279532026486634,0.19179629084253394,4671.0,6234.85,6245.87,6226.18,94.38,588479.19,6234.22
2018-07-13 12:00:00,0.08698310262415916,0.19715054617599925,5181.0,6232.0,6248.99,6228.08,62.82,391997.33,6241.75
2018-07-13 13:00:00,0.09692751891658306,0.2049111160954308,5298.0,6240.4,6286.36,6238.0,423.94,2655456.13,6269.06
2018-07-13 14:00:00,0.09758484220495918,0.2026232776304885,5200.0,6272.4,6275.68,6228.67,394.0,2460513.08,6244.01
2018-07-13 15:00:00,0.10318213207626459,0.21142511129952427,5116.0,6237.15,6264.35,6224.15,255.99,1599106.41,6245.99
2018-07-13 16:00:00,0.09606416499703098,0.21215766204215622,5240.0,6245.99,6259.88,6237.0,195.93,1224745.98,6259.88
2018-07-13 17:00:00,0.09716123209848196,0.21828153018266383,5558.0,6259.88,6268.05,6240.81,211.09,1319500.19,6254.99
2018-07-13 18:00:00,0.08435959209609722,0.21622885818149568,5611.0,6254.99,6267.99,6247.11,97.84,612655.54,6264.94
2018-07-13 19:00:00,0.08853718581752733,0.2203785027686753,5462.0,6264.91,6337.25,6226.99,571.75,3589882.19,6237.5
2018-07-13 20:00:00,0.0923034543430851,0.21997207545969977,5030.0,6237.5,6245.78,6166.44,521.21,3228298.36,6174.99
2018-07-13 21:00:00,0.10018122677823708,0.2161121468814689,4852.0,6177.35,6227.63,6121.01,612.28,3779623.53,6186.39
2018-07-13 22:00:00,0.10095012149820652,0.23085818907913794,4449.0,6185.5,6229.0,6180.01,125.81,780174.87,6215.85
2018-07-13 23:00:00,0.1134672424714027,0.22556652665784138,4208.0,6211.37,6225.39,6190.26,123.72,767545.63,6219.58
2018-07-14 00:00:00,0.05169492007778924,0.21856501239382975,4371.0,6219.99,6248.94,6196.0,136.74,850825.64,6215.59
2018-07-14 01:00:00,0.09950923554101708,0.2206044590073266,3907.0,6208.78,6273.97,6208.78,219.37,1370473.06,6237.99
2018-07-14 02:00:00,0.11187410939405736,0.2202844564046976,3231.0,6237.98,6277.72,6214.11,171.24,1069456.99,6234.38
2018-07-14 03:00:00,0.10049279048164668,0.20310504263708248,3558.0,6231.23,6240.0,6219.1,56.15,349888.49,6225.99
2018-07-14 04:00:00,0.11271226782328998,0.22446433324987566,3130.0,6226.86,6227.67,6193.5,94.03,583969.64,6206.99
2018-07-14 05:00:00,0.09652272423735678,0.2239328919413113,3415.0,6203.33,6224.8,6200.03,66.12,411019.51,6216.99
2018-07-14 06:00:00,0.09735811595016991,0.20637940889185244,3114.0,6218.51,6233.38,6210.57,78.19,486424.82,6220.53
2018-07-14 07:00:00,0.103780244266209,0.19285173493268673,3499.0,6220.53,6230.1,6201.97,75.07,466915.22,6212.81
2018-07-14 08:00:00,0.0945108516295059,0.20254888141149976,4442.0,6212.92,6225.0,6204.91,95.79,595704.78,6220.06
2018-07-14 09:00:00,0.09481203456127495,0.20144380409280152,3641.0,6221.8,6225.0,6203.79,98.38,611258.48,6216.2
2018-07-14 10:00:00,0.0785761518393219,0.21936172359370504,4093.0,6216.2,6219.54,6180.0,130.22,807423.98,6195.32
2018-07-14 11:00:00,0.08584598156862443,0.19659144803432665,4381.0,6203.99,6223.48,6195.73,39.45,244914.76,6220.48
2018-07-14 12:00:00,0.08813036199981576,0.19326561881496315,4271.0,6220.48,6239.45,6215.79,42.5,264821.93,6233.0
2018-07-14 13:00:00,0.08948837953046178,0.17648722495220495,4890.0,6231.13,6242.21,6224.63,82.37,513436.44,6236.12
2018-07-14 14:00:00,0.09100328219923795,0.19926593911037158,4768.0,6235.76,6240.92,6222.8,32.42,201957.74,6237.0
2018-07-14 15:00:00,0.08687249609815068,0.1916351459166314,4637.0,6231.95,6244.43,6226.23,48.81,304512.55,6238.2
2018-07-14 16:00:00,0.08541838397706562,0.21048857295933318,4399.0,6238.2,6240.0,6216.18,47.57,296455.69,6239.99
2018-07-14 17:00:00,0.08328018219976774,0.229995432773997,4293.0,6239.55,6270.69,6239.55,133.93,838019.93,6262.0
2018-07-14 18:00:00,0.07986841649398302,0.23248332235550545,3861.0,6262.99,6270.59,6248.74,259.41,1624071.38,6255.49
2018-07-14 19:00:00,0.08645546626420936,0.21603397917127862,3862.0,6259.54,6298.0,6229.48,68.14,426747.86,6237.68
2018-07-14 20:00:00,0.08030492195122882,0.2035296529301922,3989.0,6239.99,6269.53,6200.01,146.93,916476.48,6267.99
2018-07-14 21:00:00,0.09313462281643667,0.21950797348744847,4056.0,6269.53,6317.84,6205.47,425.57,2664428.61,6270.31
2018-07-14 22:00:00,0.10330089707235544,0.22135970695783896,3466.0,6270.3,6286.37,6257.13,54.81,343757.75,6265.61
