"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 02, 2017","54.27","54.26","54.39","54.22","0","0.06"
"Nov 01, 2017","54.24","54.59","55.22","53.89","0","-0.26"
"Oct 31, 2017","54.38","54.08","54.85","53.93","497.30K","0.42"
"Oct 30, 2017","54.15","54.16","54.46","53.75","565.04K","0.46"
"Oct 27, 2017","53.90","52.80","54.20","52.25","730.92K","2.39"
"Oct 26, 2017","52.64","52.19","52.86","51.91","594.65K","0.88"
"Oct 25, 2017","52.18","52.56","52.57","51.89","681.74K","-0.55"
"Oct 24, 2017","52.47","51.89","52.62","51.55","709.55K","1.10"
"Oct 23, 2017","51.90","52.07","52.30","51.68","583.56K","0.84"
"Oct 20, 2017","51.47","51.42","51.73","50.70","32.96K","0.35"
"Oct 19, 2017","51.29","52.05","52.17","51.07","127.41K","-1.44"
"Oct 18, 2017","52.04","51.94","52.33","51.69","152.62K","0.31"
"Oct 17, 2017","51.88","51.93","52.25","51.21","471.61K","0.02"
"Oct 16, 2017","51.87","51.43","52.37","51.35","520.73K","0.82"
"Oct 13, 2017","51.45","50.73","51.72","50.70","667.50K","1.68"
"Oct 12, 2017","50.60","51.00","51.13","50.15","729.27K","-1.36"
"Oct 11, 2017","51.30","50.94","51.42","50.61","651.95K","0.75"
"Oct 10, 2017","50.92","49.55","51.06","49.54","664.84K","2.70"
"Oct 09, 2017","49.58","49.25","49.79","49.13","505.08K","0.59"
"Oct 06, 2017","49.29","50.75","50.82","49.10","743.11K","-2.95"
"Oct 05, 2017","50.79","49.88","51.22","49.85","654.39K","1.62"
"Oct 04, 2017","49.98","50.16","50.67","49.76","598.84K","-0.87"
"Oct 03, 2017","50.42","50.59","50.73","50.14","462.74K","-0.32"
"Oct 02, 2017","50.58","51.64","51.71","50.07","600.93K","-2.11"
"","","","","","",""
"","Highest:55.22","Lowest:49.10","Difference:6.12","Average:51.82","Change %:5.03"
