Date,Open,High,Low,Close,Adj Close,Volume
2018-05-23,31.610001,32.000000,30.870001,31.059999,31.059999,1499700
2018-05-24,30.510000,30.879999,29.770000,29.790001,29.790001,1831300
2018-05-25,28.820000,29.100000,28.200001,28.670000,28.670000,2599900
2018-05-29,28.370001,28.879999,28.020000,28.480000,28.480000,1868700
2018-05-30,28.790001,29.260000,28.580000,29.059999,29.059999,1941900
2018-05-31,28.760000,29.309999,28.040001,28.070000,28.070000,2092000
2018-06-01,28.070000,28.270000,25.570000,26.400000,26.400000,3859100
2018-06-04,26.450001,26.650000,25.530001,25.780001,25.780001,2426600
2018-06-05,25.570000,26.120001,25.469999,25.930000,25.930000,1845400
2018-06-06,26.200001,26.270000,25.650000,25.910000,25.910000,1948100
2018-06-07,26.040001,27.129999,26.040001,26.930000,26.930000,1887700
2018-06-08,26.930000,27.150000,25.719999,25.969999,25.969999,2083700
2018-06-11,25.879999,26.309999,25.670000,25.910000,25.910000,1346700
2018-06-12,25.910000,26.760000,25.709999,26.629999,26.629999,2097000
2018-06-13,26.530001,26.990000,26.370001,26.610001,26.610001,1487000
2018-06-14,27.030001,27.080000,26.270000,26.430000,26.430000,1385400
2018-06-15,26.209999,26.410000,25.799999,26.129999,26.129999,3438400
2018-06-18,26.190001,26.850000,26.180000,26.299999,26.299999,1562200
2018-06-19,25.799999,27.750000,25.790001,27.690001,27.690001,2623000
2018-06-20,27.950001,28.580000,27.700001,28.440001,28.440001,2600100
2018-06-21,28.070000,28.430000,26.870001,27.020000,27.020000,2158200
2018-06-22,28.389999,28.600000,27.620001,27.860001,27.860001,2175900
2018-06-25,27.900000,28.030001,27.219999,27.400000,27.400000,1367100
2018-06-26,27.520000,28.920000,27.290001,28.809999,28.809999,2166000
2018-06-27,29.190001,30.299999,29.120001,30.059999,30.059999,2816500
2018-06-28,30.139999,30.379999,29.680000,30.139999,30.139999,2197500
2018-06-29,30.480000,31.410000,30.000000,30.049999,30.049999,2761400
2018-07-02,29.760000,29.770000,29.000000,29.209999,29.209999,1384700
2018-07-03,30.049999,30.299999,29.280001,29.650000,29.650000,1132100
2018-07-05,29.830000,30.020000,29.190001,29.879999,29.879999,1599100
2018-07-06,29.629999,31.389999,29.580000,30.940001,30.940001,2125700
2018-07-09,31.350000,32.619999,31.270000,32.520000,32.520000,2248800
2018-07-10,32.919998,33.430000,32.700001,32.990002,32.990002,1932700
2018-07-11,32.369999,33.180000,31.620001,31.730000,31.730000,1928400
2018-07-12,31.879999,32.259998,31.209999,31.930000,31.930000,1773300
2018-07-13,31.870001,32.599998,31.709999,31.809999,31.809999,943400
2018-07-16,31.049999,31.770000,30.910000,31.670000,31.670000,1013800
2018-07-17,31.520000,32.259998,31.340000,32.020000,32.020000,693200
2018-07-18,31.709999,32.040001,31.030001,31.740000,31.740000,1187700
2018-07-19,31.440001,32.400002,31.420000,32.330002,32.330002,1222300
2018-07-20,32.410000,32.720001,31.809999,31.980000,31.980000,1304300
2018-07-23,31.990000,32.299999,31.709999,31.940001,31.940001,1221200
2018-07-24,32.480000,32.869999,32.209999,32.349998,32.349998,1098400
2018-07-25,32.330002,32.910000,31.920000,32.830002,32.830002,1171200
2018-07-26,32.970001,33.349998,32.759998,32.980000,32.980000,978700
2018-07-27,32.770000,33.599998,32.700001,32.820000,32.820000,1240500
2018-07-30,33.349998,33.860001,33.099998,33.529999,33.529999,1815300
2018-07-31,33.470001,33.720001,32.820000,33.500000,33.500000,1345700
2018-08-01,33.049999,33.410000,32.580002,33.189999,33.189999,1568000
2018-08-02,32.150002,34.439999,31.700001,32.779999,32.779999,3111200
2018-08-03,32.669998,33.080002,31.090000,31.139999,31.139999,2989500
